px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
163.731	28.789	3.20355	0.532467	0.0713175	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.03024
166.805	30.2005	4.33191	0.301593	-0.124647	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.941756
166.738	30.1781	3.40702	0.378455	0.0239401	166.748	29.7121	166.809	30.0721	2.63006	1.22694	2.15549
169.099	31.3715	3.30889	0.468193	0.0661722	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0139023
169.119	31.3757	3.13427	0.479802	0.0945462	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.192951
172.155	32.3384	4.01477	0.142953	-0.183811	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.805833
172.139	32.322	3.27449	0.0986699	-0.237755	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.12703
174.645	33.4534	3.19534	0.515994	0.17956	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.494591
174.627	33.4527	2.9836	0.541747	0.21554	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.101416
177.024	34.2068	2.94093	0.230513	-0.12654	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.369272
177.038	34.2041	2.74526	0.216841	-0.132214	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.237435
180.127	35.1361	3.80136	0.325004	0.0203835	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.91372
180.015	35.1203	2.88853	0.386885	0.10681	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.02375
182.59	35.7554	3.25773	0.133101	-0.122646	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.262854
182.498	35.7342	2.7186	0.115158	-0.145894	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.93866
184.73	36.5078	2.84481	0.425259	0.143776	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.247198
184.73	36.5115	2.50006	0.466566	0.196681	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.147979
186.936	36.9469	2.7137	0.0705513	-0.181192	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.471898
186.999	36.9558	2.64521	0.0294753	-0.218477	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.14859
189.457	37.3979	3.03645	0.250284	0.0605992	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.333732
189.482	37.4073	2.49935	0.309895	0.113231	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.723631
191.729	37.5698	2.70648	-0.0472764	-0.185079	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.282883
191.699	37.5597	2.39236	-0.078956	-0.229047	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.260829
193.473	37.2769	2.25793	-0.200608	-0.161615	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0221351
193.495	37.2812	2.30071	-0.193878	-0.154646	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.10628
195.968	37.3915	3.25942	0.249383	0.219606	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.08706
195.835	37.3976	2.34104	0.300957	0.300963	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.71802
197.721	37.7348	2.40629	0.203425	0.0538974	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.172046
197.673	37.7243	2.07319	0.185574	0.0429594	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.5189
199.294	37.2995	1.91533	-0.411494	-0.355532	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.468464
199.309	37.3046	2.01052	-0.393392	-0.32949	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0556725
201.523	36.9897	2.88215	0.0168854	0.138334	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	1.36607
201.371	36.9946	2.12066	-0.111807	-0.0342411	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	4.09533
202.963	36.4601	2.1308	-0.330453	-0.146748	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0359498
202.918	36.4469	1.76554	-0.399367	-0.262153	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.490723
203.993	36.1855	1.24419	-0.219957	0.00469369	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.308075
203.992	36.17	1.51822	-0.155733	0.101573	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.721397
